"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"money",0.311545131971716,0.301227815188191,0.565472566568724,-0.657094745657975,0.0423469306505512,0.207440527172055,-0.036544613496704,0.0884752028273725,0.081734329682367
"PolPop",0.348632681976285,-0.385827259828964,0.0969517007107368,-0.0156447499039691,0.180714829521185,-0.0305428898059865,0.036539628161605,0.814525512888633,-0.14686903983271
"PolTerr",0.32166034249845,-0.491361475818454,0.286339619800923,-0.367242877593502,0.108288751497491,0.445856776505045,0.221720562556776,-0.41145381050365,0.096290447291387
"CapPop",0.334909897541686,-0.366852852842923,-0.116274910602608,0.128083652783973,0.190195479589676,-0.666950839344643,-0.349264623323059,-0.339503466800807,0.0712947705646118
"levels",0.32973676861172,-0.193476430869258,-0.237285477866499,0.306754467573227,-0.828675156351407,0.105138036419252,0.0730161253599518,-0.0114571114370156,0.0147882155766745
"government",0.332744244771652,0.202201098607029,-0.501250481148445,-0.0596268392546664,0.219356814811915,0.483410518492415,-0.557089087958334,0.0127629950911035,0.0356972116967935
"infrastr",0.336729537507312,0.231975914718236,-0.394765742801176,0.221809719962584,0.331246932471134,-0.0688384285206307,0.696156286444994,-0.0618825288286001,0.157589872636764
"writing",0.332609788070551,0.394906580777712,0.213652551120698,-0.477999116785429,-0.224244162555556,-0.2349594311784,-0.0510473659311045,0.156384999832166,0.571607796140988
"texts",0.349851244494363,0.33094262074549,0.0802470627993553,-0.308187292530666,-0.101456531421049,-0.155445342905919,0.0618784692425122,-0.135381268640908,-0.781055935820732
"money",0.311397210685619,0.278414700866885,0.616122306681363,0.614952608268518,0.119658041082368,0.163118945438902,-0.144121859696251,-0.0712978528010621,0.0310369602036971
"PolPop",0.35279364229479,-0.331634865508563,0.107200751834693,-0.0339215638633666,0.0898711964174265,0.0550749340315409,0.0435638611776771,-0.813839201986983,0.27851418500866
"PolTerr",0.317290294632765,-0.547272379497331,0.296939095610413,-0.324330082055303,0.161742677440423,-0.316312163350649,-0.379881208802534,0.343239532988391,-0.134609786964863
"CapPop",0.336360195008022,-0.361433231128903,-0.0841687074396254,0.209397918301772,0.183392543268472,0.547805337354665,0.506928618383198,0.322217484790519,-0.103786969063317
"levels",0.32963076910465,-0.173143576458621,-0.279088757561594,0.207461286313344,-0.844718834156451,-0.14240546998856,-0.0538483264414961,0.0507193568523755,-0.0336573319377899
"government",0.333349133999974,0.175007416533586,-0.463630804751755,-0.0543391872239317,0.316304518693963,-0.622408387725008,0.389718954519694,0.0193362876315228,-0.0254751535586014
"infrastr",0.335135720158951,0.210598777355143,-0.447643550734695,0.186762473056073,0.276201148502265,0.296016888364048,-0.647005831336975,-0.0439667412842574,-0.153637695373772
"writing",0.333094308540537,0.391251826651497,0.236400665218627,-0.486868884592139,-0.174412501320914,0.17942988553044,0.151121778617689,-0.159834485278903,-0.57623254452047
"texts",0.349069810917217,0.341483365648637,0.0977016213078596,-0.316955845666731,-0.081679831905817,0.162273895816371,-0.0209985559808999,0.289262335521196,0.731036738389362
"money",0.311174778574677,0.291942217308823,0.578438513105495,0.656838156911333,0.0717830210176794,-0.207357809230485,-0.0118342798571736,0.043921382546339,-0.0411499688168195
"PolPop",0.352130191387022,-0.326552473358022,0.101524188583767,-0.0615711422131617,0.189040597939708,-0.0658866313776071,0.0932162262022144,-0.815010218076731,0.205575601120168
"PolTerr",0.321190863770405,-0.490670323166699,0.379018056753386,0.271856348445685,0.16264141394128,0.414627299047977,-0.37678070488107,0.30343415538428,-0.0781951954373545
"CapPop",0.335704550614933,-0.411271961198023,-0.124574225929701,-0.164812853753101,0.178079162858431,-0.524989386407133,0.431282941324256,0.417480321463763,-0.0886283009497866
"levels",0.331380860669484,-0.192604477429815,-0.210737150910834,-0.11937508269531,-0.882768471094744,0.0450949444122585,-0.110602712239992,-0.0227582556382044,-0.0191064802718754
"government",0.331751816602654,0.161233329013508,-0.519240533036003,0.117611113833448,0.175776232898247,0.610089066711268,0.418573281964663,0.0373829957234861,-0.0281852166028227
"infrastr",0.335848727737951,0.209420491143138,-0.468916471740567,-0.0991460161329024,0.280756291048356,-0.248578475356319,-0.665676784292223,-0.0238409579878273,-0.171250618055544
"writing",0.332639652099198,0.377260563791376,0.319436895603387,0.452239309945822,-0.111404874856091,-0.203866411870601,0.177359970592261,-0.137146162668646,-0.579850684221566
"texts",0.34787818540019,0.348563876310544,0.137858568318648,0.301956184398342,-0.0480213518195252,-0.176179817205159,-0.0134790200353082,0.197777599491247,0.758062285723354
"money",0.309528563228292,0.33569266890615,0.419011889447739,-0.749352517682262,0.0487912452296908,0.198733427554787,0.0337888073168325,0.0948017527542254,-0.0489665668521053
"PolPop",0.352211158635954,-0.326354376243017,0.0986698422830982,-0.00389649773476479,0.113589110969186,0.0761813672521436,0.072522395050928,0.821244234279931,0.247551052107341
"PolTerr",0.324494486577699,-0.447408628970863,0.399242334804945,-0.282243680923403,0.222906285481485,-0.280453401220981,0.415973462000474,-0.385518033188473,-0.0739831887367347
"CapPop",0.335051793097179,-0.426769756507179,-0.0983193669971061,0.100355923560034,0.157796929414897,0.417334909537784,-0.629119735385653,-0.259719257349521,-0.153479085908436
"levels",0.331263259291024,-0.215437928471172,-0.198695179174259,0.173929540575012,-0.859039691102872,-0.12451034248983,0.119382289735244,-0.078750262319259,-0.0146335748666404
